#z_cmb mb dmb
0.0219953 15.56975 0.1391
0.0471562 17.32405 0.12545
0.0306414 16.3736 0.12625
0.0331999 16.61295 0.1249
0.042934 17.2055 0.14795
0.0150791 14.74935 0.1526
0.0295784 16.25295 0.1342
0.0369521 16.9021 0.16555
0.0355124 16.77055 0.12655
0.0216222 15.7795 0.13695
0.0138262 14.64805 0.16195
0.0556238 17.792 0.11395
0.0556684 17.7707 0.10045
0.0644413 18.1778 0.15105
0.0199922 15.7067 0.156
0.028126 16.02685 0.1316
0.0232849 15.7013 0.1335
0.0143025 14.89705 0.16765
0.0318708 16.452 0.1185
0.0606359 17.78945 0.1136
0.016358 15.01385 0.15025
0.0508642 17.4687 0.1439
0.0306602 16.21965 0.11945
0.0267735 15.9978 0.1291
0.0249515 15.5514 0.1259
0.023447 15.78645 0.12635
0.0358007 16.56045 0.1177
0.0329568 16.39975 0.12455
0.0239522 15.6001 0.1278
0.0166868 14.91335 0.1531
0.0160289 15.17685 0.15115
0.0308575 16.34225 0.12125
0.0356798 16.74885 0.12725
0.0284848 15.8648 0.1457
0.0171024 15.26595 0.1485
0.034544 16.59205 0.1761
0.027663 16.04785 0.1364
0.0479364 17.2903 0.16335
0.0409422 16.93325 0.117
0.0311204 16.23615 0.1431
0.0267829 16.0669 0.14255
0.0295879 16.28725 0.1419
0.0169478 14.9294 0.1556
0.0659705 18.05925 0.1229
0.050729 17.62205 0.1398
0.0279749 16.10835 0.12155
0.0339844 16.42245 0.15235
0.0323954 16.4802 0.15235
0.044443 17.18185 0.11625
0.0576617 17.9246 0.11905
0.0450179 17.16275 0.12315
0.0207599 15.4466 0.1437
0.0387203 16.8206 0.11335
0.0371932 16.86145 0.1275
0.032077 16.39225 0.12215
0.023571 15.68035 0.1291
0.0275873 16.1044 0.12155
0.0103223 13.9248 0.20035
0.019973 15.42955 0.14185
0.0449814 16.9842 0.14465
0.0383136 16.7074 0.1146
0.012053 14.4566 0.1737
0.0125505 14.2811 0.1749
0.0173246 14.9354 0.1562
0.0212487 15.502 0.13615
0.0154767 14.86115 0.1939
0.0193386 15.27645 0.15785
0.0165031 14.92685 0.15925
0.0121115 14.4674 0.17765
0.0505308 17.57915 0.12805
0.0296444 15.88935 0.45085
0.0291356 16.1733 0.12025
0.0148366 14.6193 0.15445
0.0150694 14.6705 0.1456
0.0450087 17.1679 0.1151
0.0329849 16.515 0.1148
0.0149724 14.53545 0.1635
0.0148172 14.69915 0.1491
0.0268871 16.23455 0.1179
0.0324984 16.59355 0.1061
0.0142636 14.6408 0.16555
0.0248374 15.86575 0.1242
0.0107042 14.0086 0.18445
0.0171121 15.1 0.1498
0.0199057 15.30565 0.1353
0.0459745 17.4344 0.12175
0.0217466 15.3918 0.13205
0.0273414 16.3465 0.12485
0.0517552 17.4521 0.1018
0.0541141 17.60445 0.1094
0.0204817 15.36595 0.1368
0.0143316 14.99535 0.1656
0.0413191 16.97675 0.10685
0.0316927 16.3843 0.1205
0.0328727 16.35135 0.11105
0.0136316 14.47835 0.15385
0.0484528 17.42035 0.1224
0.0172183 15.0558 0.1465
0.0242189 15.64995 0.13485
0.0279938 16.09165 0.13605
0.0154379 14.7589 0.1525
0.0214977 15.36745 0.1436
0.0331251 16.4701 0.12025
0.0166965 14.6697 0.1558
0.0267829 16.23595 0.1341
0.0332373 16.6071 0.12105
0.0130085 14.55605 0.17285
0.0169671 14.9156 0.1511
0.0119456 13.9791 0.1914
0.0513954 17.3218 0.11385
0.0193194 15.45455 0.1578
0.0163483 14.6312 0.14705
0.0234184 15.8239 0.13525
0.0304817 16.31895 0.12075
0.0127455 14.1903 0.1716
0.0368594 16.99715 0.1201
0.0150888 14.9486 0.16405
0.0257494 15.91835 0.1425
0.0198 15.02285 0.15165
0.0359587 16.8196 0.11505
0.0229413 15.66265 0.13895
0.016087 14.8831 0.1518
0.022244 15.5348 0.13625
0.18717 21.0138 0.14645
0.276222 22.52675 0.14085
0.20217 21.09145 0.11245
0.132464 19.93715 0.11585
0.303975 22.84545 0.14185
0.0929047 19.15365 0.1077
0.270946 22.12745 0.10645
0.318169 22.7822 0.11645
0.163894 20.50135 0.109
0.237549 21.7417 0.10825
0.0311955 16.472 0.1289
0.0990098 19.29245 0.12085
0.184086 20.723 0.12425
0.20667 21.22765 0.12265
0.184046 20.8629 0.1228
0.309192 22.59905 0.1524
0.305589 22.85455 0.16925
0.252292 21.74045 0.14605
0.345768 22.8422 0.14315
0.365535 23.2359 0.14515
0.279409 22.3891 0.15885
0.264711 21.92755 0.1335
0.257615 21.7912 0.14045
0.305203 22.56615 0.132
0.258837 21.8575 0.11575
0.300773 22.5444 0.12545
0.336949 22.7793 0.14135
0.223874 21.4826 0.1256
0.147347 20.49025 0.1308
0.241125 21.8387 0.1521
0.215742 21.50715 0.1382
0.0933241 18.90405 0.12325
0.170703 20.5539 0.15765
0.209236 21.2449 0.1389
0.19006 20.8644 0.19515
0.176507 20.73405 0.17345
0.299641 23.03515 0.17065
0.286804 22.2536 0.149
0.243673 21.54775 0.14025
0.311167 22.72345 0.12465
0.138963 20.07365 0.12015
0.260142 22.05965 0.1158
0.199359 21.02715 0.11585
0.075982 18.52945 0.1223
0.0957428 19.1167 0.10015
0.249773 22.0508 0.14375
0.0927813 19.0531 0.1106
0.226497 21.4896 0.1351
0.117146 19.53775 0.0994
0.213144 21.22425 0.12
0.0912726 19.0807 0.10935
0.261246 22.1458 0.14555
0.297521 22.599 0.2655
0.23084 21.71085 0.11935
0.128624 19.88745 0.11365
0.186019 20.96525 0.12895
0.121883 19.82205 0.1072
0.125438 19.88005 0.10815
0.0842575 18.9547 0.1139
0.135546 20.1239 0.12545
0.192578 21.19555 0.2471
0.130049 20.15155 0.16675
0.336509 22.9937 0.1404
0.20159 21.20755 0.11325
0.221166 21.3163 0.1146
0.191462 21.0224 0.1241
0.254243 21.88785 0.1485
0.208786 21.064 0.1418
0.258556 22.1162 0.13315
0.242969 21.71485 0.1245
0.119121 19.80745 0.1216
0.23469 21.88165 0.1627
0.189378 21.21045 0.1599
0.23123 21.91835 0.1704
0.268915 21.9904 0.12345
0.144861 20.2554 0.1144
0.0738683 18.337 0.10315
0.152973 20.3864 0.1142
0.153052 20.34675 0.16425
0.18756 21.03315 0.15375
0.0438125 17.29255 0.1243
0.181308 20.7853 0.1197
0.167173 20.5274 0.21145
0.0701999 18.378 0.11965
0.0255976 15.98385 0.1362
0.160658 20.055 0.15515
0.150887 20.3552 0.11035
0.156417 20.5371 0.1169
0.25888 22.02925 0.13805
0.21341 21.30945 0.10785
0.226078 21.17535 0.1226
0.270345 21.7944 0.11375
0.0879324 18.8215 0.14795
0.152959 20.2752 0.1117
0.215354 21.3734 0.1525
0.196852 21.2589 0.1441
0.265435 21.9082 0.2036
0.187995 20.92185 0.1499
0.127765 19.91105 0.11095
0.137544 20.18505 0.1775
0.295422 22.4583 0.14905
0.241815 21.66595 0.15665
0.34185 22.97595 0.19605
0.130956 19.9375 0.11
0.23224 21.6135 0.15825
0.174052 20.73865 0.1623
0.193178 20.71895 0.1478
0.249137 21.7581 0.12005
0.167166 20.72485 0.1607
0.265149 22.1621 0.14215
0.195333 21.3408 0.1213
0.181308 20.82175 0.14915
0.107685 19.3688 0.1916
0.254621 21.88605 0.16925
0.200326 21.0268 0.13165
0.275646 22.1535 0.1307
0.237101 21.81735 0.13845
0.16625 20.3968 0.14145
0.193555 21.0934 0.1643
0.334553 22.89585 0.20855
0.270142 22.10035 0.1358
0.212605 21.36745 0.13725
0.20831 21.391 0.1313
0.211363 21.22475 0.16715
0.23548 21.95175 0.1182
0.200006 21.3768 0.1625
0.219061 21.3787 0.11055
0.239428 21.9041 0.12485
0.247215 22.1329 0.16575
0.247804 21.9869 0.11895
0.205391 21.13905 0.14085
0.183327 20.6681 0.15385
0.174093 20.9208 0.1231
0.279196 22.2944 0.18525
0.234549 21.6875 0.1493
0.267351 22.2065 0.1423
0.199231 21.1327 0.1596
0.230059 21.39335 0.16425
0.110043 19.5741 0.1083
0.249018 21.7689 0.1401
0.276652 22.18595 0.1824
0.194029 21.13115 0.11795
0.14635 20.2873 0.17315
0.172733 20.859 0.16115
0.224566 21.715 0.1649
0.197425 21.1466 0.1219
0.120175 19.76145 0.12305
0.130903 19.8557 0.11605
0.106105 19.26765 0.1244
0.196748 21.05305 0.1237
0.259643 21.9623 0.10725
0.382686 23.4834 0.1156
0.180234 20.83145 0.10825
0.0903219 19.1829 0.10965
0.29076 22.4668 0.20545
0.334558 22.81425 0.2082
0.276259 22.31495 0.143
0.218683 21.2969 0.11365
0.187461 20.74845 0.15255
0.299195 22.5594 0.1627
0.354897 23.1391 0.14355
0.24546 21.96765 0.14105
0.259764 22.00245 0.1283
0.247169 21.97245 0.18155
0.310625 22.4503 0.1316
0.0605124 18.09975 0.1085
0.0615528 17.91255 0.12675
0.241338 21.8116 0.12465
0.126935 20.2551 0.1724
0.122399 19.7799 0.1129
0.300538 22.75515 0.1527
0.177909 20.59575 0.11555
0.268021 21.88675 0.1841
0.275798 22.2063 0.1382
0.296201 22.47585 0.16245
0.166375 20.61175 0.15295
